"","date","ccode","icews_violence","precip_mean","panel_precip_mean","panel_precip_sd","temp_mean","panel_temp_mean","panel_temp_sd","country","DEMOC_lag","gdp_pc_lag","icews_lag","population_lag","year","El_Nino","dev","posDev","posDev_sq","negDev","negDev_sq","preDev","posPreDev","posPreDev_sq","negPreDev","negPreDev_sq"
"2712",2013-06-01,"800",0,48.65211233,40.6737507118408,7.51409453040118,25.60605558,24.9193374701244,1.54126121234052,"Thailand",7,8.10103208451365,3,18.0169890773668,"2013",0,0.44556,0.44556,0.1985237136,0,0,1.06179,1.06179,1.1273980041,0,0
"2713",2013-06-01,"811",0,51.35632706,43.9294170242164,7.20801916848115,26.06533559,25.2220456578856,1.54186671982289,"Cambodia",3,6.48549898463406,0,16.5144961998018,"2013",0,0.54693,0.54693,0.2991324249,0,0,1.03037,1.03037,1.0616623369,0,0
"2714",2013-06-01,"812",0,43.95310974,35.0140412675746,9.16445891002951,23.49844742,21.4615833198259,2.40387108277517,"Lao PDR",0,6.55361426478721,0,15.7094996968627,"2013",0,0.84733,0.84733,0.7179681289,0,0,0.97541,0.97541,0.9514246681,0,0
"2715",2013-06-01,"820",0,51.75599575,47.4833347914801,3.23129486588993,27.63808489,26.5276730499005,0.736920062476031,"Malaysia",6,8.81937739774764,0,17.1910456962627,"2013",0,1.50683,1.50683,2.2705366489,0,0,1.32228,1.32228,1.7484243984,0,0
"2716",2013-06-01,"840",0,50.61360016,42.4394604478856,4.86430288055137,27.44526558,25.8493843002114,1.21617762870108,"Philippines",8,7.32343272981998,0,18.3871939062709,"2013",0,1.31221,1.31221,1.7218950841,0,0,1.68043,1.68043,2.8238449849,0,0
"2717",2013-06-01,"850",3,47.82883968,43.5556117591915,2.76427845353928,25.67010258,24.8326858628358,0.432636569658142,"Indonesia",9,7.46655759328044,7,19.32434890937,"2013",0,1.93561,1.93561,3.7465860721,0,0,1.54587,1.54587,2.3897140569,0,0
"2718",2013-06-01,"900",3,19.87037116,21.4977212044901,6.50318150550321,16.35865413,22.5931370959453,4.72652213269194,"Australia",10,10.5685566061137,6,16.9389277920158,"2013",0,-1.31904,0,0,1.31904,1.7398665216,-0.25024,0,0,0.25024,0.0626200576
"2719",2013-06-01,"910",0,46.80966568,41.2269387155721,2.5809995460217,23.92839114,23.8662836861567,0.455028114203469,"Papua New Guinea",4,7.0381868721888,0,15.784999110259,"2013",0,0.13649,0.13649,0.0186295201,0,0,2.16301,2.16301,4.6786122601,0,0
"2720",2013-06-01,"920",0,14.0626657,16.6966446923259,3.50347491020157,9.977171659,12.1628622022637,2.62949577829505,"New Zealand",10,10.2414789204072,0,15.3045871137272,"2013",0,-0.83122,0,0,0.83122,0.6909266884,-0.75182,0,0,0.75182,0.5652333124
"2721",2013-07-01,"365",3,21.45508419,9.77285473664677,6.30649119153895,15.11074255,-5.46609639791294,13.0767674055611,"Russian Federation",5,8.83286414510783,0,18.7795991694034,"2013",0,1.57354,1.57354,2.4760281316,0,0,1.85241,1.85241,3.4314228081,0,0
"2722",2013-07-01,"710",44,25.5567605,13.1754084539229,7.08784476649258,18.82439786,4.89314997808458,10.1552391881581,"China",0,7.21084799513335,0,21.0238851117399,"2013",0,1.37183,1.37183,1.8819175489,0,0,1.74684,1.74684,3.0514499856,0,0
"2723",2013-07-01,"712",0,15.97650205,7.53247700248134,5.41165629117346,15.92722702,-1.88860533222886,13.2485440103907,"Mongolia",10,7.38193144109266,0,14.8438734717899,"2013",0,1.34474,1.34474,1.8083256676,0,0,1.56034,1.56034,2.4346609156,0,0
"2724",2013-07-01,"731",0,36.53564072,14.5758587751915,11.0900315879138,21.08871078,4.99121386711816,12.0503586095168,"Korea, Dem. Rep.",0,5.99369747102679,0,17.0248687535505,"2013",0,1.33585,1.33585,1.7844952225,0,0,1.98014,1.98014,3.9209544196,0,0
"2725",2013-07-01,"732",6,47.64289856,18.8987078944888,12.9498191558029,23.73096848,10.9896842049017,8.92740833094443,"Korea, Rep.",8,9.97871166942565,0,17.7276223794482,"2013",0,1.42721,1.42721,2.0369283841,0,0,2.21966,2.21966,4.9268905156,0,0
"2726",2013-07-01,"740",3,42.456611,19.5072171260721,12.0536055174272,22.57435417,10.9805557514975,8.03231154680616,"Japan",10,10.5128908846432,6,18.6641090729762,"2013",0,1.4434,1.4434,2.08340356,0,0,1.90394,1.90394,3.6249875236,0,0
"2727",2013-07-01,"750",59,47.95548386,25.6077314514925,11.4684970241172,25.23794254,21.944272463097,4.0341977975992,"India",9,7.11248228194876,53,20.9357016501029,"2013",0,0.81644,0.81644,0.6665742736,0,0,1.94862,1.94862,3.7971199044,0,0
"2728",2013-07-01,"771",3,47.68096828,24.4840042819726,11.667017045515,21.67903471,17.0301580431915,4.10962004005244,"Bangladesh",6,6.403040943197,0,18.8569683732721,"2013",0,1.13122,1.13122,1.2796586884,0,0,1.98825,1.98825,3.9531380625,0,0
"2729",2013-07-01,"775",4,52.88143539,32.6279662401617,12.3733782754308,24.11516224,22.0355975419154,2.67544892829707,"Myanmar",0,5.88285988600732,3,17.7819709708722,"2013",0,0.77728,0.77728,0.6041641984,0,0,1.63686,1.63686,2.6793106596,0,0
"2730",2013-07-01,"780",0,47.20064163,43.0676639614801,4.70746082075126,27.03644753,26.3766375467164,1.2094346923602,"Sri Lanka",5,7.52497182735227,0,16.8275098039821,"2013",0,0.54555,0.54555,0.2976248025,0,0,0.87796,0.87796,0.7708137616,0,0
"2731",2013-07-01,"790",0,19.04854441,8.9585660302301,5.87868047484117,13.01145792,3.50637321689801,6.36964608598117,"Nepal",6,5.9944999356515,0,17.1287643828376,"2013",0,1.49225,1.49225,2.2268100625,0,0,1.71637,1.71637,2.9459259769,0,0
"2732",2013-07-01,"800",0,50.90612666,40.6737507118408,7.51409453040118,25.1019357,24.9193374701244,1.54126121234052,"Thailand",7,8.10103208451365,4,18.0169890773668,"2013",0,0.11847,0.11847,0.0140351409,0,0,1.36176,1.36176,1.8543902976,0,0
"2733",2013-07-01,"811",0,53.44903183,43.9294170242164,7.20801916848115,25.52634621,25.2220456578856,1.54186671982289,"Cambodia",3,6.48549898463406,0,16.5144961998018,"2013",0,0.19736,0.19736,0.0389509696,0,0,1.3207,1.3207,1.74424849,0,0
"2734",2013-07-01,"812",0,48.39322408,35.0140412675746,9.16445891002951,23.10989443,21.4615833198259,2.40387108277517,"Lao PDR",0,6.55361426478721,0,15.7094996968627,"2013",0,0.68569,0.68569,0.4701707761,0,0,1.4599,1.4599,2.13130801,0,0
"2735",2013-07-01,"820",1,50.34798336,47.4833347914801,3.23129486588993,27.08750057,26.5276730499005,0.736920062476031,"Malaysia",6,8.81937739774764,0,17.1910456962627,"2013",0,0.75969,0.75969,0.5771288961,0,0,0.88653,0.88653,0.7859354409,0,0
"2736",2013-07-01,"840",1,51.45096893,42.4394604478856,4.86430288055137,26.77270927,25.8493843002114,1.21617762870108,"Philippines",8,7.32343272981998,0,18.3871939062709,"2013",0,0.7592,0.7592,0.57638464,0,0,1.85258,1.85258,3.4320526564,0,0
"2737",2013-07-01,"850",15,47.72762713,43.5556117591915,2.76427845353928,25.00959504,24.8326858628358,0.432636569658142,"Indonesia",9,7.46655759328044,1,19.32434890937,"2013",0,0.40891,0.40891,0.1672073881,0,0,1.50926,1.50926,2.2778657476,0,0
"2738",2013-07-01,"900",0,15.70549941,21.4977212044901,6.50318150550321,16.38374212,22.5931370959453,4.72652213269194,"Australia",10,10.5685566061137,7,16.9389277920158,"2013",0,-1.31373,0,0,1.31373,1.7258865129,-0.89068,0,0,0.89068,0.7933108624
"2739",2013-07-01,"910",2,44.03257815,41.2269387155721,2.5809995460217,23.50865746,23.8662836861567,0.455028114203469,"Papua New Guinea",4,7.0381868721888,0,15.784999110259,"2013",0,-0.78594,0,0,0.78594,0.6177016836,1.08704,1.08704,1.1816559616,0,0
"2740",2013-07-01,"920",0,12.54136944,16.6966446923259,3.50347491020157,9.675489545,12.1628622022637,2.62949577829505,"New Zealand",10,10.2414789204072,0,15.3045871137272,"2013",0,-0.94595,0,0,0.94595,0.8948214025,-1.18604,0,0,1.18604,1.4066908816
"2741",2013-08-01,"365",5,19.84222445,9.77285473664677,6.30649119153895,12.84819302,-5.46609639791294,13.0767674055611,"Russian Federation",5,8.83286414510783,1,18.7795991694034,"2013",0,1.40052,1.40052,1.9614562704,0,0,1.59667,1.59667,2.5493550889,0,0
"2742",2013-08-01,"710",3,23.6621741,13.1754084539229,7.08784476649258,18.3755595,4.89314997808458,10.1552391881581,"China",0,7.21084799513335,0,21.0238851117399,"2013",0,1.32763,1.32763,1.7626014169,0,0,1.47954,1.47954,2.1890386116,0,0
"2743",2013-08-01,"712",0,16.1201342,7.53247700248134,5.41165629117346,14.598706,-1.88860533222886,13.2485440103907,"Mongolia",10,7.38193144109266,0,14.8438734717899,"2013",0,1.24446,1.24446,1.5486806916,0,0,1.58688,1.58688,2.5181881344,0,0
"2744",2013-08-01,"731",0,30.72677708,14.5758587751915,11.0900315879138,20.64209938,4.99121386711816,12.0503586095168,"Korea, Dem. Rep.",0,6.05477713838959,0,17.0248687535505,"2013",0,1.29879,1.29879,1.6868554641,0,0,1.45635,1.45635,2.1209553225,0,0
"2745",2013-08-01,"732",0,40.13000107,18.8987078944888,12.9498191558029,24.70515823,10.9896842049017,8.92740833094443,"Korea, Rep.",8,9.97871166942565,0,17.7276223794482,"2013",0,1.53633,1.53633,2.3603098689,0,0,1.6395,1.6395,2.68796025,0,0
"2746",2013-08-01,"740",0,40.20430056,19.5072171260721,12.0536055174272,23.81532447,10.9805557514975,8.03231154680616,"Japan",10,10.5128908846432,4,18.6641090729762,"2013",0,1.59789,1.59789,2.5532524521,0,0,1.71709,1.71709,2.9483980681,0,0
"2747",2013-08-01,"750",58,44.87439349,25.6077314514925,11.4684970241172,24.01991518,21.944272463097,4.0341977975992,"India",9,7.11248228194876,48,20.9357016501029,"2013",0,0.51451,0.51451,0.2647205401,0,0,1.67996,1.67996,2.8222656016,0,0
"2748",2013-08-01,"771",1,46.20241356,24.4840042819726,11.667017045515,21.61387634,17.0301580431915,4.10962004005244,"Bangladesh",6,6.403040943197,1,18.8569683732721,"2013",0,1.11536,1.11536,1.2440279296,0,0,1.86152,1.86152,3.4652567104,0,0
"2749",2013-08-01,"775",4,51.01885605,32.6279662401617,12.3733782754308,24.02360968,22.0355975419154,2.67544892829707,"Myanmar",0,5.88285988600732,0,17.7819709708722,"2013",0,0.74306,0.74306,0.5521381636,0,0,1.48633,1.48633,2.2091768689,0,0
